Experiment,3
Experience,3
Look,8
Sense,2
Usually,3
Quality,1
Ideally,1
Situation,7
Accept,1
Distraction,1
maintain,1
Position,1
Risk,1
Decision,1
Take,6
Consider,2
Time,4
Call,2
Serious,1
Casually,1
Commit,1
Match,1
General,1
Respond,1
Commonly,1
Physically,1
Fall,1
Reject,1
Come,1
Keep,2
Strong,2
Realistic,1
Expect,1
Reason,1
Factor,1
part,2
Avoid,1
Aspect,1
Contribute,1
Gather,1
Lead,3
Require,1
Run,1
Give,1
